(1, 'AVOID', '7rZJ1D1ERxrHNKTWwpZFVU', 'UCrSEPIBkh8_l5ntoRUTyT8g'),
(2, 'Abstract Void', '294COHomHgFJqPYW9TpoPZ', 'UCR19O29uWfbzmWoZ6YZbdKA'),
(3, 'Accept', '3JDIAtVrJdQ7GFOX26LYpv', 'UCi7K9hxcPHgqtqiomqZIqTw'),
(4, 'Anaal Nathrakh', '7vrrJ5YlL3I8XUrh1ktGJV', 'UCzxxTohibGjA4A2Dsdf1Qog'),
(5, 'AndrelamusiA', '03mowSVNcM408GEGsOKRTa', 'UCyYoyKREINeFQQvlf9XLc3A'),
(6, 'Andrs Lavelle', '7MQOAyHbEy2wWTNfEGTGnG', 'UC6eOoLVn7tpvAy3CifJnd1A'),
(7, 'Andy Cizek', '0C5fT1ymHhTRTrSVhDYUta', 'UCwwMX_70ADammvRGk__d29A'),
(8, 'Andy Thomas', '1wGcxzGKfW6siwdWyFPTWz', 'UCc3xNWmuwzNTM2XOW7F0gLA'),
(9, 'Animals As Leaders', '65C6Unk7nhg2aCnVuAPMo8', None),
(10, 'Annie Hardy', '6YMnp8GrauQVk1YMBAlkXt', 'UCVw2hBmSNeIazRuS3wiFLig'),
(11, 'Apocalyptica', '4Lm0pUvmisUHMdoky5ch2I', 'UCpqq5sZCFH6vkIrO9PZc8bA'),
(12, 'Ashbringer', '697R3cOlkWzOAkXztLzeg2', 'UCf7WLEp77bSGx6A-ha5d4ww'),
(13, 'Aviana', '66CXWjxzNUsdJxJ2JdwvnR', 'UCvWU8d6Wg77ut6xzUJDiNGg'),
(14, 'Behemoth', '1MK0sGeyTNkbefYGj673e9', 'UCkXmQ7w1rr63TL2So6Q2qLQ'),
(15, 'Breaking Benjamin', '5BtHciL0e0zOP7prIHn3pP', 'UCgdqrZsRnxy1qGIusPhQEyg'),
(16, 'Buckethead', '0fDF0jjmdouCIeWhNnblwV', None),
(17, 'CASH GROWE', '7eejBhyXLSFgUMq7DFQO3V', 'UC-rWvK8GK2GNeFfEGFHSzPg'),
(18, 'Cadaveric Crematorium', '6rJ6LpxJY5aQe6laq5XjQX', 'UChayxEe9NJ0eETbLVZGhJAQ'),
(19, 'Cane Hill', '0DZKzOGHDqGaf1N2pmsBRZ', 'UC2Xi5TEQJU1xbKwKlSDyxDQ'),
(20, 'Chase Atlantic', '7cYEt1pqMgXJdq00hAwVpT', 'UCKT1WQMU1VcGbSua2K8x8XQ'),
(21, 'Chelsea Wolfe', '6ZK2nrW8aCTg8Bid7I7N10', None),
(22, 'Christopher Vernon', '2FKfHftkqOOjR8jl8fRge1', 'UCBtln7cWMqApIXy-o-04n_g'),
(23, 'Clown Core', '6mtABo05yeYtPftYEVfGoV', 'UCtVykkawMSw1Bp49tHlBs3A'),
(24, 'Code Orange', '6qtECqesbU29iftyeWmldK', None),
(25, 'Corey Taylor', '0nhDd1RWjZ6SDV1Vg1Ku2Q', 'UCT2zj8ft0sbmr_ZJGaVW9_Q'),
(26, 'Crystal Lake', '5DzNxD4vwCDEIa20oEzB9l', 'UCXGwubDulXQSoZIePr06PHQ'),
(27, 'Cult Of Luna', None, None),
(28, 'Danzig', '34c4iQ5tkaZKu6Sv28BTde', 'UC_mZZGIrXN8NFakDKft4org'),
(29, 'David Bowie', '0oSGxfWSnnOXhD2fKuz2Gy', 'UCvY1eVE6lTebXsdFbbXUtkQ'),
(30, 'Dead Like Juliet', '3C4EFbyH1KqzTt3gcF0tor', 'UCDNtrvCAqs5KYUBeXJDp3FA'),
(31, 'Deftones', '6Ghvu1VvMGScGpOUJBAHNH', 'UCXQtyZ6gWbOYR5B8Sc2sr3g'),
(32, 'Draconian', '1TX9g1uSl0B0DQIE9lBqmU', 'UCItGiuzrW0IrOdMj5OZ_9XA'),
(33, 'Dream Theater', '2aaLAng2L2aWD2FClzwiep', 'UC_yH_GaGHZk9ewo5ghQA75w'),
(34, 'ENOX', '0ciz7qq9gZJKmjxvi38IL8', 'UCljNPTzYWyZCMPF7EEqhchA'),
(35, 'Elley Duhé', '67MNhiAICFY6Pwc2YxCO0K', 'UChGKzv70GtmPC8AKRzODJkw'),
(36, 'Elyne', '2ldJ3WucPLlQJBtoNnl3Dk', 'UCA5cwLkcvQgMXyVrenP6IFQ'),
(37, 'Elysion', '5yxZeKeX0FcaT6OlOnx52v', 'UCz6PGDshrn27jGerFd63YgA'),
(38, 'Enter Shikari', '31jvzuB4ikftPQZJwrYfCF', 'UC8_Eyiun_N-1vZuBnaRwi9A'),
(39, 'Ernia', '3fhMfkPPzksWuw0hEm4ldm', 'UCdRHhpvK_qXXH8xelXn_9Xg'),
(40, 'Every Time I Die', '0o7WWONtleH6PWLn5GIoCM', 'UCFKUUtHjT4iq3p0JJA13SOA'),
(41, 'Exit a Head', '1cBYTcuCW2R3y31cOWh2Dc', None),
(42, 'Feather', '0AWbviG3HDBho8LtKJaMQJ', None),
(43, 'Fit For A King', '0OgdRTPItr9dw4XYp4JJUx', 'UCx1YFUZiP6QZIDvWO7dfYDA'),
(44, 'Fleshgod Apocalypse', '5ctFffJBdJe8PZL7W7NeML', 'UCvo0PS83Hp2uMTyuo5IKSow'),
(45, 'Flyleaf', '4IliztYDlfMvzQzbx50o60', 'UCWTlxviywjNshU-esI-b0ZA'),
(46, 'Franz Ferdinand', '0XNa1vTidXlvJ2gHSsRi4A', 'UC02hzkbqEtyTdwRUpNsUnlA'),
(47, 'Gemello', '3GNq6JwYWh8B2xujy6ub04', 'UCTd74LBT0ivZe0oCES4Eqog'),
(48, 'Grailz Beni', '0l8SbtNnklnNXq8RZC3YLy', 'UC1gGuLrbI7d2Bh7QrcRLGVw'),
(49, 'Heriot', None, None),
(50, 'Highly Suspect', '2pqd3HsfsvcBGtHvPOg6eg', 'UCkmDF49yDP-nKO55md8WzzA'),
(51, 'Hive', '4DToQR3aKrHQSSRzSz8Nzt', 'UCjTONQNQcJ11XeHKI6paDmQ'),
(52, 'Ho99o9', '5KuuNGYTUTokLerXMNYCGL', 'UCNUy7o6QBcAXWgKGValdYmw'),
(53, 'Holding Absence', '2tl280wIokrLjabzrSKTgU', 'UChPCr60aeu396Tox_tLZ5bg'),
(54, 'Holy Fawn', '13rS3lCWshTVt6HsCNjvBI', 'UCa4NyobfJuPhj7bEEUPqq9g'),
(55, 'HourHouse', '2gTGDMyJT449yCPyYSzQ4E', 'UC0kqyQQ_zrQMuO4e_ufKy9A'),
(56, 'How To Destroy Angels', '1yDbenrXWhaQij3SCpsXe7', 'UCBxfQvpSXeMgHqB67SAxJzA'),
(57, 'Igorrr', '2p2uE4i92Dn4DkThfoKIB9', 'UC7gJRij98IY_nFfFDrld8yQ'),
(58, 'Issues', '3zRstk92RGCVDyslSySNsm', 'UClDKokuW6Xz1Gmj_Oe6VeKg'),
(59, 'JavyDade', '5x2MghffUs9Ypcb9pOsrWH', 'UCHsAwgqQ9h928VW_YikVCdQ'),
(60, 'Jnr Choi', '1Z25ZlGHqqlr3o1UGQOfNn', 'UCN78FsKHbrRCUPGgiybBBjg'),
(61, 'John Francis Shade', '7rN3Agir6FaZNfhf5V7mfN', 'UCa9MClu1yI4u_Ci4daHYAIQ'),
(62, 'Joji', '3MZsBdqDrRTJihTHQrO6Dq', 'UCXi-Rme73-wjVK5IE78a3SQ'),
(63, 'Joshua Travis', '0lAkhEiuVXNhO0icEvCstI', 'UCTAEHwUGaAr0b_qdYmpqi5g'),
(64, 'Korn', '3RNrq3jvMZxD9ZyoOZbQOD', 'UCdSgOgQ0WtelXBMKF3tDsqg'),
(65, 'Kublai Khan TX', '5BIOo2mCAokFcLHXO2Llb4', 'UCehgz05MCn5mdXW_5QnK43Q'),
(66, 'Kyuss', '3HCpwNmFp2rvjkdjTs4uxs', 'UCd8AMfxIQBvKgPVNvyybWZg'),
(67, 'LANDMVRKS', '6G43CiunIxMwb2tQ12vNP6', 'UCCSRXf2yg94pw0K4NPxkZ5w'),
(68, 'LE CARIE', None, None),
(69, 'Lamb of God', '3JFsVIxOn7STeilPICkkB2', 'UCTaA5rGW1qSMnCTTFyFFKoA'),
(70, 'Livia Bellisario', '3JU9NLB27wyGhbwbApR9uy', None),
(71, 'Loathe', '4G9wSdX0klmoHfjm9i6DLd', 'UCD6tMQY9eROSWDQ2R0AD-9Q'),
(72, 'Lorenza Rose Cirillo', '0tTS475qIqv3KXYZMXjsYy', None),
(73, 'Ludwig Göransson', '24eDfi2MSYo3A87hCcgpIL', 'UCOpLOH5uXtBzwc7LKOr0y-Q'),
(74, 'Machine Head', '0lVlNsuGaOr9vMHCZIAKMt', 'UCtfwRuF3Jq39iqF1H7TYzHw'),
(75, 'Maynard James Keenan', '1ZayZ1FjNF8TWznEVRyGre', 'UCAUB8xZmHho16u6GKlnLhXA'),
(76, 'Mezzosangue', '63isdzBiMOaYkMiX6XddfB', 'UCNcRxSjaMfgmbfgrJ55TMAg'),
(77, 'Moodring', '75gi4UlMiDGTClCgtZVpH0', 'UClPciWT_raAyGu7Cdfmv8PA'),
(78, 'Mötley Crüe', '0cc6vw3VN8YlIcvr1v7tBL', 'UCaeBWvnAVVgyfFT-gnWwURg'),
(79, 'Nick The Nightfly', '33vxsx5Mh3ToiA25Wy2Jas', 'UCLG9xDko8cGIZOrMxJ4tAdQ'),
(80, 'Opeth', '0ybFZ2Ab08V8hueghSXm6E', 'UCPDNZZQOlPKYnL64i9cCXFA'),
(81, 'Paleface Swiss', '467M2s2YxXdlL2ZpDUNL3A', 'UCwy_FDBO2DLmAfRZKshBkeA'),
(82, 'Paradise Lost', '0gIo6kGl4KsCeIbqtZVHYp', 'UCWZ2Qw9bIIR-H2RXz297zBQ'),
(83, 'Parkwood', '1YgiaqhVsWWmHf4Om0q00f', 'UCQVWD3z9f_qowCMx8cnvxrQ'),
(84, 'Pixies', '6zvul52xwTWzilBZl6BUbT', 'UCRt5ckI8kNVMFr-jyj1IIVg'),
(85, 'Plini', '3Gs10XJ4S4OEFrMRqZJcic', 'UCHHr_xQWzwLBYDQS-i_UoLQ'),
(86, 'Plugs of Apocalypse', '3lVFR4dvji1Np9WV84zIW9', 'UCiIHQUqo8od44dO_WcF43Nw'),
(87, 'Polaris', '0v2e0oznnTaIXKLGKHphfX', 'UCZx7OhOHYWiNBdBbCLBfxvg'),
(88, 'Polyphia', '4vGrte8FDu062Ntj0RsPiZ', 'UCZhtK40axOw7MGLTfwQ1yVA'),
(89, 'Porcupine Tree', '5NXHXK6hOCotCF8lvGM1I0', 'UCc3TEf15ldupda3ifbVzNMA'),
(90, 'Pouya', '4nXOZlYoAD67hF9aUEncMY', None),
(91, 'Pungent Stench', '7A3kNjGDMpJ0JOGu8W3f9r', 'UCmmehKlGWM01cY1wJkPuTeQ'),
(92, 'Puscifer', '2pAajGWerK3ghwToNWFENS', None),
(93, 'Rain Paris', '10TCOjSPs9ywBN1Q083BnB', 'UCK9a3BOVinDAKw_W3u9LXWw'),
(94, 'Rivers of Nihil', '3UJmyt9ApeZTmOlMvBNGLN', 'UCymFgP1XHZbPmt1HVm-j_ug'),
(95, 'Ryo Kinoshita', '0hFOSb4sdsDLsAhwwSheWH', 'UCB2P93m5v3EB90LL3GV8s-A'),
(96, 'Salmo', None, None),
(97, 'Saltwound', '5Fim4esoV1D1hRTcPW73IP', None),
(98, 'Sam Tompkins', '04uu8U3I1h26Fp2NBkPTRZ', 'UCPYTMgwkGntiliffW-E5rJg'),
(99, 'Sanlevigo', '513ZtS3NI6qf1LvbTM2e3b', 'UCY9pkds3bchMYz_X6NEjFQA'),
(100, 'Sara Mun', '7scHtx0J2eL0jFwAJF0zKG', 'UCbWvXSwG4oewXqbD1Om2FAg'),
(101, 'Shadow of Intent', '76xrrejizyQpKukBIhnf3D', None),
(102, 'Shinedown', '70BYFdaZbEKbeauJ670ysI', 'UCaWl0HHyhwtrtfVw4bN2wJA'),
(103, 'Sine', '4IEJn7FhTQoNgvSlBH8H6n', 'UCUMRwPa02Htpb0aE8XzSiRQ'),
(104, 'Slowdive', '72X6FHxaShda0XeQw3vbeF', 'UC2o9vA6xBUQE6Tmk86oYQig'),
(105, 'Snot', '6TnlohrPbZ8D0JvJp9S1t8', 'UCSsDs_5sIVRKyDR_iec1Ucw'),
(106, 'Soen', '38uWD5h115pdz278q4rwZW', 'UCo-XfNO9KLp4DIgmKOJ4Jsg'),
(107, 'Souls Of Mischief', None, None),
(108, 'Speculum Mortis', '6RYfkXcep3IYlME5Vvg6nR', 'UC6S5t5Xj9SQ5V5LmAGjDHgA'),
(109, 'Staind', '5KDIH2gF0VpelTqyQS7udb', None),
(110, 'Stone Sour', '49qiE8dj4JuNdpYGRPdKbF', 'UC4Hkv4VoHUOfZy8n3dzARsw'),
(111, 'Stromae', '5j4HeCoUlzhfWtjAfM1acR', 'UC0Jtyp9fC2lW9LaW-sDpCkw'),
(112, 'Superheaven', '1IHjrY7ygKbmLVoUV1VcXc', 'UCAVNHrm8w5mdqAMYEylV_aA'),
(113, 'Sylosis', '2RiGIRDi4GoJpDbjDnPVJl', 'UCFgj6bS0arL6nrYb8PsMFIg'),
(114, 'System Of A Down', '5eAWCfyUhZtHHtBdNk56l1', None),
(115, 'Terror Reid', '5No9X0ZejwFDnD1dVllwQA', None),
(116, 'Testament', '28hJdGN1Awf7u3ifk2lVkg', 'UCAzb0gYKjvUm-WNy-tevEcw'),
(117, 'The Algorithm', '14u4KXVp0iXQil79EpxXGc', 'UCVhtV62-riKD_Rb15zvZgPQ'),
(118, 'The Charm The Fury', '1AaHt93G0EIiO4Bl4gaEC1', 'UCQNrQw6YjSJ_HJGo7ZUaJRg'),
(119, 'The Dillinger Escape Plan', '7IGcjaMGAtsvKBLQX26W4i', 'UCUzn61l7bYeXmT20DL-Eg7A'),
(120, 'The Machinist', '6tILPGLd7DdvvhPW5ndLZz', 'UCHdJpJUkFSuk_sakDqBodJg'),
(121, 'The Toxic Avenger', '5zExRf0VQCl3GO4Jrj8r0s', 'UCb0uFIYbuHXL6EaKB4TJQkw'),
(122, "The Wise Man's Fear", '0Ir2YUbOtgP5GeOzQicQ44', None),
(123, 'Then It Ends', '5TiYxejPE7S8iWdWtjqyQQ', 'UCTkdGYGuLkxFOU4o1rQZk7w'),
(124, 'Thy Art Is Murder', '3et9upNERQI5IYt5jEDTxM', 'UCaDRQ3kDfwhXOV5H9Ib8xyA'),
(125, 'Trivium', '278ZYwGhdK6QTzE3MFePnP', 'UCwh3hZIwSbmJPoY3oXHyP1A'),
(126, 'Ultra Vomit', '4mnp6YW545j0Qb5PYS9Wmv', 'UC1rvv7-gkuD6naG6PmTQS9g'),
(127, 'Verdena', '058thnz6odaxoAN4n3cMBN', 'UChf_r1xObvlYS_ezGw_POQw'),
(128, 'Victor Kwality', '0o75YCEpFIA5hy8g4DJCYR', 'UCCZPK1nKMtsHDwNc2AkaPkg'),
(129, 'Vildhjarta', '0z4ODfFM8PGE0A9r0tZ75J', 'UC1BaRc48aweBwRmY652AlVg'),
(130, 'Vincente Void', '7dG9i6mXD95KlPRLW5Mspl', 'UCftwC0XOsSaxPQcMINyFzXg'),
(131, 'Vladimir Nabokov', '2kJ5TQYjLZcJgqcgNm98dl', 'UClOCE8aexWex0t3Uy8LoHow'),
(132, 'Wage War', '6bu7CtcOMWcS0BMq7snHW6', 'UCJ-G9Ij2PUj-s3oe4hbqbFg'),
(133, 'Waynewood', '46Ae99tK8EgcCpVFSAdkxQ', 'UCEuniZGmCa6X1ZQdpf2dq-A'),
(134, 'Yanghi', '1rjgOqUqZ9MrjHUUW0n4lu', 'UC2ieMn-tfPWFkZBuD4LN7eQ'),
(135, 'just valery', '71QYROrDgJKNLtD4QDoq4i', 'UChkQOXwfDm6AQQXow8viC9Q'),
(136, 'ten56.', '28dpy0DQotTkBXcTlniQii', 'UCGYgNWSU9nfbSoVlkb85lyw'),
(137, 'öOoOoOoOoOo', '6ZoJKjLxwRHlReRww0uao4', 'UCDAwHnHtAUrEaQnHNTgvIbw'),
(138, 'Author & Punisher', None, 'UCbmA6p_ZDfGWSaMDTBfJynA'),
(139, 'Solence', '4fnono0JCZFAeeaecrI7kg', None),
(140, 'Architects', '3ZztVuWxHzNpl0THurTFCv', None),
(141, 'Lacuna Coil', '4OAddazJM576euUnFSvXSL', None),
(142, 'Gomma', '0QBQgTnTS6JORFHr7k0KRJ', None),
(143, 'Bring Me The Horizon', '1Ffb6ejR6Fe5IamqA5oRUF', None)
